	SYMBOL	adj.P.Val	FC	CHR	CHRLOC	mean.NF	mean.WD
215179_x_at	PGF	0.00389002247336783	1.40964542211773	chr14	75413081	320.797536646215	452.210778959979
213496_at	LPPR4	0.00389054389693261	1.81872162182521	chr1	99771240	9.45809655141517	17.2016446993693
64488_at	IRGQ	0.00389387415889059	1.25542656786691	chr19	44090289	66.2487581318515	83.1704510469158
201468_s_at	NQO1	0.00390317523265221	-2.67527362616201	chr16	69744726	846.556588376099	316.437384235189
204844_at	ENPEP	0.0039088295919775	1.92805022004295	chr4	111397324	88.2631111101816	170.17571079766
219694_at	FAM105A	0.00392486954990065	1.33857841135748	chr5	14610249	10.5733248478723	14.1532243776314
203628_at	IGF1R	0.00392824656912515	-1.54533195582734	chr15	99500289	9.48277533180435	6.13640020582339
214061_at	TBC1D31	0.00393217904718535	1.25645573571893	chr8	124164045	6.21696408771174	7.81134018676403
210844_x_at	CTNNA1	0.00394295074406746	-1.23055608932711	chr5	138269490	2183.20092340205	1774.15799437137
218055_s_at	WDR41	0.00394295074406746	1.67159670492896	chr5	76728069	193.486542049489	323.431466138025
210619_s_at	HYAL1	0.00396620257464934	-1.78012629464269	chr3	50339487	13.4477287454911	7.55436779174725
204706_at	INPP5E	0.00398318029515434	1.2256936516904	chr9	139323070	106.1567113269	130.115607157712
214777_at	NA	0.00398318029515434	4.3891673704084	NA	NA	7.13283752356968	31.3072177168767
213023_at	UTRN	0.00398318029515434	-1.36238596578041	chr6	145172124	23.043184862117	16.9138448581399
219161_s_at	CKLF;CKLF-CMTM1	0.00398637948343774	1.38937778900805	chr16	66586471	143.665174151853	199.605202020557
212339_at	EPB41L1	0.00399024333351655	-1.98938285697895	chr20	34818781	76.153768448671	38.2800968559249
207992_s_at	AMPD3	0.00399151273166091	1.5302958797208	chr11	10527254	6.10118378389911	9.33661640592017
215513_at	PLAGL1	0.00400082770813326	1.56370141448853	chr6	144325473	51.9044392333894	81.163045047485
211026_s_at	MGLL	0.00401103251255464	-1.80795451677444	chr3	127541151	2678.10793781122	1481.29165471995
209413_at	B4GALT2	0.00401103251255464	1.46367655705041	chr1	44455969	22.3892543768485	32.7706267612314
212297_at	ATP13A3	0.00401208691248966	-1.46118032432561	chr3	194124588	458.603387203729	313.858173128216
200631_s_at	SET	0.00401409489452431	1.20480363377747	chr9	131458033	1874.68383984343	2258.62590242727
204198_s_at	RUNX3	0.00402564700450549	2.37800532317149	chr1	25227508	23.3067586911635	55.4235962334601
221631_at	CACNA1I	0.00403063476062802	1.51858026939403	chr22	40082628	6.39065009333434	9.70471514033864
209835_x_at	CD44	0.00403370640850605	-1.7217233413831	chr11	35250675	658.309024771575	382.354707605196
211931_s_at	HNRNPA3	0.00404466054760243	1.33905151724968	chr2	178084135	724.817203371167	970.567575902826
214684_at	MEF2A	0.00405540026239853	-1.23707398308609	chr15	100253127	74.4468602563288	60.1797962564924
32625_at	NPR1	0.0040787736578874	-2.09412457871734	chr1	153651563	808.52242246098	386.09089004447
200633_at	NA	0.0040787736578874	-1.13002870028125	NA	NA	15587.3199928586	13793.7381492869
208374_s_at	CAPZA1	0.0040805140521313	1.19696950748708	chr1	113212613	1108.90366756926	1327.32387682099
218074_at	FAM96B	0.00408631306362346	-1.20080746726032	chr16	66965965	513.719043851513	427.811333505095
209437_s_at	NA	0.00408761841799475	-1.86737155289694	NA	NA	16.9464772606388	9.07504306486246
50277_at	GGA1	0.00409176938688309	1.37847402341739	chr22	38029188	390.956689153813	538.923640279799
209316_s_at	HBS1L	0.00409351363012728	-1.43166690688425	chr6	135318534	134.766488016085	94.1325718769163
204087_s_at	SLC5A6	0.00409974770644046	-2.02927937308391	chr2	27422457	163.659008612674	80.6488307048427
212630_at	EXOC3	0.00410274133645541	-1.4215840178348	chr5	466841	158.21873778316	111.297493358248
216593_s_at	NA	0.00411698656731031	1.82843527009876	NA	NA	59.5341507947066	108.854341088419
203752_s_at	JUND	0.00412863026563069	-1.35362983292101	chr19	18391247	7747.9635978661	5723.84222734415
214670_at	ZKSCAN1	0.0041303737077181	1.36099928807557	chr7	99633041	91.1772926514992	124.092230387349
207730_x_at	NA	0.0041303737077181	1.47658052444784	NA	NA	417.446913169858	616.393981977477
213617_s_at	NA	0.00413147893248099	-1.55172303379107	NA	NA	136.507235260754	87.971391986911
203184_at	FBN2	0.00415627646699352	2.46641969867432	chr5	127593728	6.00685587260207	14.8154276512833
217718_s_at	YWHAB	0.00418181865157884	1.16273844641085	chr20	43535187	3431.53798176945	3989.98114172245
215773_x_at	PARP2	0.00418781880562207	1.31934815331876	chr14	20825796	48.9753255110849	64.6155052712347
221802_s_at	KIAA1598	0.00419215703781224	1.70525337654777	chr10	118644305	58.3541598158519	99.5086280615897
218703_at	SEC22A	0.0042087043451588	1.12896103645642	chr3	122990627	13.8600040990612	15.6474045929664
204497_at	ADCY9	0.00421259944092863	1.46238236656755	chr16	4014903	63.0398175621688	92.1883175945506
202279_at	C14orf2	0.00421259944092863	1.51880373394375	chr14	104378626	224.113744395802	340.384791816459
205475_at	SCRG1	0.0042282652720006	2.71239332348378	chr4	174320218	8.61579875217976	23.3694350118923
219785_s_at	C16orf95	0.00422839261232815	-1.23956839595323	chr16	87350696	8.93244449066312	7.20609247527165
200015_s_at	SEPT2	0.00423002786309891	1.19158046030205	chr2	242292200	3477.25374001335	4143.42761211212
211806_s_at	KCNJ15	0.00423563845745852	-1.41432097280809	chr21	39671165	31.8699728863444	22.533762490326
220742_s_at	NGLY1	0.0042378121663387	1.21827984686177	chr3	25760769	263.157808555061	320.599854706938
209657_s_at	HSF2	0.0042476550456138	1.48384720366894	chr6	122753069	40.9368461579333	60.7440246984747
203416_at	CD53	0.00424882172128216	1.68490467062124	chr1	111441745	558.624559177855	941.229128882498
209512_at	HSDL2	0.00426916460396485	-2.00770398587518	chr9	115232711	257.966410735621	128.488269461283
208736_at	ARPC3	0.00427155076051481	1.42421412732321	chr12	110872760	1095.73927045578	1560.56734884594
208082_x_at	NA	0.00428479014259696	1.16557476196624	NA	NA	497.465503292626	579.833235586715
203627_at	IGF1R	0.00428479014259696	-1.22699207566599	chr15	99500289	15.344751768981	12.505990929609
217713_x_at	NA	0.00428479014259696	1.21392404178357	NA	NA	70.7972989226551	85.9425432555493
205051_s_at	KIT	0.0042965847172569	2.53993488255701	chr4	55604594	20.0287387851582	50.8716922940457
212084_at	TEX261	0.00432812939137034	-1.13150236142327	chr2	71214176	16.5555362522125	14.631464163617
201910_at	FARP1	0.00433593177412863	1.35058337053095	chr13	99101334	203.096541888652	274.298812087155
221750_at	HMGCS1	0.00433627712327451	1.34966209346586	chr5	43290194	188.540816877344	254.466393610439
207540_s_at	SYK	0.00434027101148512	1.76125385481502	chr9	93657809	69.9563173879523	123.210833668194
203650_at	PROCR	0.00434335623943792	-1.87998743291015	chr20	33764500	469.808938886073	249.900042235295
215913_s_at	GULP1	0.00434359084221208	1.98400830163386	chr2	189158544	7.5889103425624	15.0564611199988
201917_s_at	SLC25A36	0.00434359084221208	1.50711349778343	chr3	140696722	301.840018272411	454.907165709547
218159_at	DDRGK1	0.00434373794342508	-1.26371595169245	chr20	3171011	260.954405181091	206.49767444306
204247_s_at	CDK5	0.00434761157884794	1.5329288258687	chr7	150751080	12.6592705029265	19.4057606684053
204171_at	RPS6KB1	0.00436153976338251	-1.16896800462056	chr17	58023911	70.6980013327322	60.4789874943414
217864_s_at	PIAS1	0.0043785307643951	1.28367999701694	chr15	68479879	267.942943963589	343.95299750789
210222_s_at	RTN1	0.00438487198508863	-1.63491695922399	chr14	60062953	14.2616870407548	8.72318741345987
201309_x_at	NREP	0.00438983243113854	2.00008258070014	chr5	111066541	25.5845397139877	51.1711922171778
218541_s_at	C8orf4	0.00439002592417176	1.76379974010762	chr8	40011002	86.4877680743106	152.547102851957
222136_x_at	NA	0.0043939823549935	1.37728004164478	NA	NA	72.4980886170373	99.85017050964
203630_s_at	COG5	0.00440985139022683	1.42191150346102	chr7	106843426	200.393586386742	284.941945703117
209421_at	MSH2	0.00441593699218138	1.5045714285678	chr2	47630262	21.5944503953287	32.4903930804363
204867_at	GCHFR	0.0044169709404907	-1.64369059863376	chr15	41059423	13.9745163073869	8.50191411875356
212385_at	TCF4	0.00442063380473425	-1.45299976683027	chr18	52890958	229.64520461828	158.049030606008
202557_at	HSPA13	0.00442473028518886	1.53963487168835	chr21	15745587	147.154085519725	226.563561577579
209714_s_at	CDKN3	0.00444213529924163	1.66018005593963	chr14	54878201	4.67923491404206	7.76837248134898
208933_s_at	LGALS8;HEATR1	0.00444729088578314	-1.44032463139765	chr1	236711539	387.927442494145	269.333339191534
210679_x_at	BCL7A	0.00444729088578314	1.31592042972465	chr12	122457935	398.137007368053	523.916621825053
206335_at	GALNS	0.00445265528057697	1.45581814216698	chr16	88880142	156.364076207152	227.637658925553
210702_s_at	PTGIS	0.00445353138011622	-1.38355968868516	chr20	48124009	7.40225440338568	5.35015183220627
211600_at	PTPRO	0.0044546820087415	-1.62665481002862	chr12	15749023	6242.99768167936	3837.93638526758
221912_s_at	CCDC28B	0.00446084703801034	1.38142122746101	chr1	32666003	11.6614263830258	16.1093419479856
201934_at	WDR82	0.00446553797722205	1.15983594418948	chr3	52289463	710.633503180269	824.218280133764
200789_at	ECH1	0.00447101275620723	-1.39558870204613	chr19	39321948	737.429167943544	528.400070065318
200650_s_at	LDHA	0.00447884295680445	-1.27635008219743	chr11	18428663	7518.71262008999	5890.79181719906
203332_s_at	INPP5D	0.00447946985586081	1.61068281807509	chr2	234115813	80.762286345177	130.082426964638
207191_s_at	ISLR	0.0044882013102574	1.97137142326872	chr15	74467191	210.57670441615	415.1248974921
207971_s_at	CEP68	0.0044882013102574	-1.25066651193351	chr2	65298587	24.8002152428342	19.8295988628443
219574_at	MARCH1	0.00449868484088254	1.63938507316459	chr4	164449588	5.14480623327234	8.4343185431508
213708_s_at	MLX;PSMC3IP	0.00450136120569901	-1.31419628863978	chr17	40724332	475.679902426198	361.954988412376
221058_s_at	CKLF;CKLF-CMTM1	0.00450813896705298	1.23686037402331	chr16	66586471	100.435129633191	124.224232003187
212387_at	TCF4	0.00451777273050825	-1.34326582802305	chr18	52890958	737.917586598624	549.34590846002
207945_s_at	CSNK1D	0.00451803792519015	-1.35664200601799	chr17	80202171	386.153425617005	284.639148650895
201313_at	ENO2	0.00451803792519015	1.89764587992164	chr12	7031893	18.6796792580991	35.4474163823895
208152_s_at	DDX21	0.00451817520470064	-1.52822469591945	chr10	70742766	1679.28830608642	1098.84908323385
213624_at	SMPDL3A	0.00452148406230244	1.99840229831346	chr6	123130235	71.1139764831423	142.114334046121
40687_at	GJA4	0.00452374221753373	-1.54560256383241	chr1	35261191	12.6961059070281	8.21434061001253
217286_s_at	TUBA1B;NDRG3	0.00452549319805635	1.26517160778716	chr12:chr20	NA	222.437740468146	281.421913740627
211063_s_at	NCK1	0.00453436122505779	1.34091881250423	chr3	136667100	247.219357958841	331.501087902227
202733_at	P4HA2	0.00453709864022669	1.81242189091255	chr5	131528302	121.230229114915	219.720321088215
205773_at	CPEB3	0.00453709864022669	1.25808431553504	chr10	93809826	5.06262200457504	6.36920533943843
221524_s_at	RRAGD	0.00454093079569335	-1.64796292512633	chr6	90097013	364.650609321461	221.273551583999
207705_s_at	NINL	0.00454493512687965	1.42309141836858	chr20	25439018	10.8997907577579	15.5113986893784
209302_at	POLR2H	0.00454681820115935	1.29642120238544	chr3	184085964	256.446391004934	332.462538574024
204802_at	RRAD	0.0045724891047631	-1.34865104941367	chr16	66955587	6.65568928494197	4.93507144626887
218872_at	TESC	0.00459367131347519	-1.50080755568292	chr12	117476741	12.463165695165	8.30430633692661
202514_at	DLG1	0.00459624380499203	-1.32223271451169	chr3	196769768	134.951178118138	102.063106317844
207801_s_at	RNF10	0.00460019848420538	-1.21532571639211	chr12	120972167	531.15358986452	437.046285370588
204881_s_at	UGCG	0.00460107197039642	-2.46220924107594	chr9	114659205	508.849816354366	206.663921110135
217743_s_at	TMEM30A	0.00461699446746726	1.41764046943277	chr6	75963330	294.545726206583	417.559941568915
210053_at	TAF5;USMG5	0.00463863080099525	1.37116799772982	chr10	105147762	14.8099452718164	20.3069230048447
209129_at	TRIP6	0.00464693546940489	1.2747094350572	chr7	100466116	493.892640839907	629.569609183947
209455_at	FBXW11	0.00464693546940489	1.30090201253642	chr5	171288552	172.936984858783	224.97407164477
218573_at	MAGEH1	0.00465175071646374	1.29301442929354	chrX	55478558	172.588231614348	223.159073803607
202146_at	IFRD1	0.00465486841429291	-1.64920179925105	chr7	112115684	279.15872324792	169.268990231937
201996_s_at	SPEN	0.0046550077308499	-1.74363346973883	chr1	16254585	71.8755525640318	41.2217096146918
213888_s_at	TRAF3IP3	0.00465777647759154	2.16575002240311	chr1	209933326	5.36311944103314	11.6151760495681
221004_s_at	ITM2C	0.00468839357281996	1.48011465379041	chr2	231742722	199.034456810108	294.593816133853
203192_at	ABCB6	0.00469988032488966	1.3909649890651	chr2	220082846	41.2036200034547	57.3127928475479
210908_s_at	PFDN5	0.00470717545633389	1.26599821683321	chr12	53693052	5062.42420396855	6409.02001507745
205741_s_at	DTNA	0.00471722543852632	-1.58206139389705	chr18	32409004	9.26380450256717	5.85552781851774
208527_x_at	HIST1H2BE	0.00473305911125506	1.32124787898438	chr6	26184023	18.8782671395752	24.9428704170642
206138_s_at	ZNF687;PI4KB	0.00473319569367908	1.27449417955753	chr1	151264412	309.708742388723	394.721989532509
217336_at	NA	0.00473319569367908	1.58424075857903	NA	NA	58.4379945951085	92.579852887192
203922_s_at	CYBB	0.00473404747647492	1.8879514309468	chrX	37670043	11.035027189988	20.8335953738746
215030_at	GRSF1	0.00473404747647492	1.46135307602178	chr4	71682868	36.7198612788656	53.660682230963
209264_s_at	TSPAN4	0.00473559573247708	-1.53291659173713	chr11	862549	707.732370108208	461.690071020885
200051_at	SART1	0.00473987867470737	-1.27186164955867	chr11	65729216	124.889599749398	98.1943278128835
219843_at	IPP	0.00475758017068705	1.39578439358574	chr1	46164382	14.6197451935345	20.4060121793355
221308_at	FRS2	0.00475946076704755	1.81763993002614	chr12	69967784	4.63047688006924	8.41653967227672
201196_s_at	AMD1	0.00477426630766231	-1.54885742008632	chr6	111214678	197.585295310902	127.568420920171
201461_s_at	MAPKAPK2	0.00477719143773358	-1.53160102870382	chr1	206858288	73.9216683741013	48.264310997924
205047_s_at	ASNS	0.00478830237116459	1.64719932305225	chr7	97481444	122.823281374665	202.314425935403
211557_x_at	SLCO2B1	0.00479170667716524	1.99844513229556	chr11	74904262	24.3655206977736	48.6931562343124
203874_s_at	SMARCA1	0.00479303605665817	1.5675232168407	chrX	128580732	177.27795032633	277.887302970452
212096_s_at	MTUS1	0.00482117078095288	-1.49497901478321	chr8	17611225	1020.39004895338	682.544730637142
201923_at	PRDX4	0.00482363714435174	1.33207603375495	chrX	23685644	1501.32535942898	1999.87953016386
207133_x_at	NA	0.00482708043819209	1.13833783959925	NA	NA	90.7861481055612	103.345307700022
201251_at	PKM	0.00482842140408228	1.6513819026643	chr15	72491412	613.340355910988	1012.85916392508
210338_s_at	HSPA8	0.00482950180626533	-1.36816045879834	chr11	122930180	4666.98431398362	3411.13813366791
219806_s_at	SMCO4	0.00483467544238485	1.68625090205132	chr11	93211637	61.1403917167927	103.098040684212
201738_at	EIF1B	0.00483467544238485	-1.26619018282649	chr3	40353460	1112.7426464569	878.811620520501
202959_at	MUT	0.00483467544238485	1.46353944360155	chr6	49398334	188.741311612556	276.230354182068
206789_s_at	POU2F1	0.00484251249627687	1.26150321935845	chr1	167384736	21.5528314392561	27.1889662469115
201864_at	GDI1	0.00484944032798774	1.17000785684642	chrX	153670866	642.662080667609	751.919683678365
212380_at	FTSJD2	0.00486387674562437	1.24298120971594	chr6	37447788	213.07947860665	264.853788084135
212699_at	SCAMP5	0.00487401906200772	1.22714172287591	chr15	75311852	9.19168562635172	11.279500935655
214682_at	NA	0.00487401906200772	1.30500785907679	NA	NA	38.8290858254707	50.6722621630063
220788_s_at	RNF31	0.00489883838320395	1.30459371449342	chr14	24616708	9.46517306434913	12.3482052863422
208807_s_at	CHD3	0.00490410359583995	1.50456736048875	chr17	7814781	56.0312404907192	84.3027756100318
214739_at	LRCH3	0.00491942415607342	1.20561911709604	chr3	197610411	25.7161472128811	31.0038786979056
209407_s_at	DEAF1	0.00492084285078731	1.44504168123845	chr11	674535	15.5255524861869	22.4350704667953
208723_at	USP11	0.00492725339074473	1.40791161392133	chrX	47104080	246.072835255451	346.448802626699
64371_at	SUGP2	0.00492725339074473	1.14040863691244	chr19	19103173	10.8152445308896	12.3337982733465
205055_at	ITGAE	0.00493049035272329	1.23570898867193	chr17	3617921	587.598990454128	726.101354238709
222239_s_at	INTS6	0.00493379116811027	-1.41083218878553	chr13	51943074	69.6232264518172	49.3490487424663
205639_at	AOAH	0.00494182441870437	1.68022781773404	chr7	36763626	33.1126528021699	55.6368003571748
65493_at	HEATR6	0.00494802513232221	1.18347641353874	chr17	58120972	10.9323994274223	12.9382368657387
207165_at	HMMR	0.00494881573366626	1.42089332196565	chr5	162918117	9.90749446002058	14.0774927156549
218434_s_at	AACS	0.00496004339340568	-1.66351156603654	chr12	125626637	326.574711866577	196.316466043377
211946_s_at	PRRC2C	0.00496004339340568	1.37462492481609	chr1	171509109	1179.10587208942	1620.82832077112
208667_s_at	ST13	0.00496383671787095	-1.31243346877185	chr22	41220598	1301.29824453463	991.515589550118
213451_x_at	TNXB	0.00496685532888798	-2.21748454068092	chr6	32063387	1654.70684199414	746.208964093175
216557_x_at	NA	0.00496685532888798	2.85876451195396	NA	NA	18.2241706907415	52.0986124304832
209392_at	ENPP2	0.00496685532888798	1.34019610027366	chr8	120569540	3782.27415210263	5068.98906881379
216366_x_at	NA	0.00497845844444676	1.29006462710463	NA	NA	73.5478854841172	94.881525461402
215253_s_at	RCAN1	0.00497973736526027	-1.81683552825391	chr21	35893437	113.654729686745	62.5564218220531
210163_at	CXCL11	0.00498175008139591	2.06376156069474	chr4	76954948	4.58118450448508	9.45447248280667
222360_at	DPH5	0.00498400884720091	1.29207198119086	chr1	101455181	5.65613350209768	7.30813161993536
220018_at	CBLL1	0.00498650687416045	-1.2178569885537	chr7	107398587	9.23054632293014	7.57933518441449
217840_at	DDX41	0.00498702696559466	1.32045275292168	chr5	176938577	157.597151405675	208.099592426238
208850_s_at	THY1	0.00499848636388144	2.33992960352851	chr11	119289152	150.810211170947	352.885277633286
35671_at	GTF3C1	0.00499874655041946	1.35461422329008	chr16	27471933	111.812964366793	151.463431879485
201877_s_at	PPP2R5C	0.00500983717823865	1.3567195569114	chr14	102392078	214.552024752199	291.086927956246
202552_s_at	CRIM1	0.00500983717823865	-1.44043309988518	chr2	36775667	162.787383999873	113.012804282857
217925_s_at	C6orf106	0.00503219150369106	-1.40495445759837	chr6	34555547	254.071728567405	180.839832347103
218875_s_at	FBXO5	0.00503409361711661	1.44985264620683	chr6	153296041	6.34709294527756	9.20234950243136
217803_at	GOLPH3	0.00503847367885878	1.25141581992763	chr5	32124827	1137.34333369006	1423.28944046896
213396_s_at	AKAP10	0.00506201907127644	1.3149150030732	chr17	19808344	61.7501825388098	81.1962414627898
218768_at	NUP107	0.00506349737426985	2.36696656721545	chr12	69136134	220.001818972694	520.736950234951
202951_at	STK38	0.00507643587514024	1.28899036555993	chr6	36462501	404.429788940429	521.30610148965
218158_s_at	APPL1;ASB14	0.00507737438076903	1.45796701609709	chr3	57303568	42.2551064219527	61.6065514248792
210625_s_at	AKAP1	0.00508387337860106	-2.03468805749681	chr17	55182801	101.405122924563	49.8381668634342
217900_at	IARS2	0.00509207988853553	-1.28756081424756	chr1	220320834	781.517349111802	606.975096215952
215078_at	SOD2	0.00509812566859544	-2.17307735082844	chr6	160113321	19.0049937591528	8.74565912341202
215404_x_at	FGFR1	0.00510349013563278	1.33152546406691	chr8	38274861	72.5584458282493	96.6134182534338
202214_s_at	CUL4B	0.00511048020607894	1.25738747469398	chrX	119658473	273.085595554437	343.374407369494
204897_at	PTGER4	0.00511959152024138	-1.88624368316452	chr5	40681052	681.583298210651	361.34424427451
209065_at	UQCRB	0.00511968085753738	-1.33080717902717	chr8	97242733	34.3902039706949	25.8416129043085
211509_s_at	RTN4	0.00512322206905292	-1.28871710084298	chr2	55276880	12101.8225693487	9390.59671159217
203008_x_at	TXNDC9	0.00512733251058685	1.19987036837652	chr2	99935521	201.960867358006	242.326860314492
204172_at	CPOX	0.00513118288101117	1.25401079072018	chr3	98298479	23.5333779113594	29.5111098429405
218353_at	RGS5	0.00513600341049088	-1.81741799169302	chr1	163112716	2049.08574268525	1127.47081411713
202367_at	CUX1	0.00513962509006905	-1.16991986352928	chr7	101926312	188.975279619867	161.528396526055
202663_at	WIPF1	0.00514595559476551	1.68725471165504	chr2	175424301	38.2489647184394	64.535745937114
210479_s_at	RORA	0.00514694306782197	-1.79776012460108	chr15	60803424	75.1904870346076	41.824538216016
221597_s_at	TMEM208	0.00515994621744195	1.40882858354682	chr16	67262878	159.997728852653	225.409373710192
202972_s_at	FAM13A	0.00516138583446958	-2.06300676908522	chr4	89647506	253.809259074644	123.028805759657
218996_at	TFPT	0.00517512057915339	1.47019996387857	chr19	54617821	30.7859551267936	45.2615101153792
205308_at	ZC2HC1A	0.00517684964467656	1.55905890972395	chr8	79629562	100.0427268656	155.972504672893
205681_at	BCL2A1	0.00517820594033127	-2.8309769114448	chr15	80263041	96.7559690237371	34.1775902984519
208801_at	SRP72	0.00517820594033127	1.27125960861231	chr4	57368631	682.577022282809	867.732598194995
216988_s_at	PTP4A2	0.00519155819668405	-1.16927345348574	chr1	32384570	2278.02829418773	1948.24254959067
212310_at	MIA3	0.0052005175075417	1.64783392070494	chr1	222840043	43.9947740665871	72.4960810406721
210841_s_at	NRP2	0.00520412962497289	-1.14155950664109	chr2	206607926	6.03813859571318	5.2893769975073
218910_at	ANO10	0.00520471313934693	-1.39123850873007	chr3	43407831	123.089923771573	88.4750695148094
203635_at	DSCR3	0.00522173563046788	-1.35309789319822	chr21	38595725	35.196923723429	26.0121044459219
202587_s_at	AK1	0.00523701443994687	1.54164591835674	chr9	130630119	365.197316333446	563.004952120288
213168_at	SP3	0.00523701443994687	1.56052056349818	chr2	174819600	615.993536969677	961.270581423154
216559_x_at	NA	0.0052454998527659	1.28862408542204	NA	NA	190.607258205556	245.621103779936
210944_s_at	CAPN3	0.00527010289885648	1.37912605683348	chr15	42703944	35.5312055786288	49.0020114441942
215604_x_at	NA	0.00527151818768239	1.39372446242887	NA	NA	180.553711713877	251.642124797961
202991_at	STARD3	0.00527282215110555	1.15800367923052	chr17	37819056	5.11993382332096	5.92890220482247
201584_s_at	DDX39A	0.0052743473864673	1.34794214315577	chr19	14523824	255.085649430708	343.840696981912
208687_x_at	HSPA8	0.00527945717611483	-1.26254579482732	chr11	122930180	5332.41725536267	4223.54363478117
221009_s_at	ANGPTL4	0.00529004881912406	-2.1930094373098	chr19	8438899	1316.09778554737	600.133206522745
214022_s_at	IFITM1	0.00531177909888331	-1.46389749584058	chr11	314921	935.942902583912	639.350026380424
220355_s_at	PBRM1	0.00531177909888331	-1.23377075365624	chr3	52579882	198.570126416435	160.945723367148
214823_at	NA	0.00531177909888331	-1.3749507336838	NA	NA	7.90545844677788	5.74963033446108
203735_x_at	PPFIBP1	0.00531337031107282	-1.54895277308219	chr12	27845728	111.803921265589	72.1803293221877
205296_at	RBL1	0.00531337031107282	1.29057116021444	chr20	35624751	4.99717391423078	6.44920853628217
201008_s_at	TXNIP	0.00531671907513746	-1.91971851330287	chr1	145441841	2945.82771638092	1534.51023989585
209106_at	NCOA1	0.00532575989953468	1.29485211701365	chr2	24991385	278.855102162004	361.076119374528
203531_at	CUL5	0.00532680002239217	1.24076523278581	chr11	107978030	325.664307501626	404.072950307284
205743_at	STAC	0.00535369708656277	1.91776924186766	chr3	36587682	6.40527531819505	12.2838399909285
222159_at	NA	0.00536685863415935	-1.49283363300973	NA	NA	16.2305377822598	10.8723017912834
212364_at	MYO1B	0.00539089158238376	1.5512083110922	chr2	192288562	491.132622149733	761.849005327165
202625_at	LYN	0.005405481746305	1.46401637912556	chr8	56923131	37.407451194403	54.7651212499459
208929_x_at	RPL13	0.00540900362359531	1.15055228670934	chr16	89629291	13503.6344798273	15536.6375296524
202114_at	SNX2	0.00542736575591435	1.18832529472845	chr5	122154512	273.171525232778	324.616633233661
205392_s_at	CCL14	0.00542736575591435	-1.73379442902686	chr17	34310691	1403.81301677493	809.676737491218
203296_s_at	ATP1A2	0.00544795939952358	-3.28757301106815	chr1	160111083	759.77174988704	231.10414501188
201998_at	ST6GAL1	0.00544795939952358	1.57840348709716	chr3	186794764	191.576469572667	302.38496761926
206491_s_at	NAPA	0.00548671378322467	-1.37600205345295	chr19	48018099	208.471822312831	151.505458723473
205923_at	RELN	0.00550105641703766	-1.43889198723114	chr7	103112236	8.62922939702715	5.99713492993479
209252_at	HARS2	0.00551204259260306	1.35577031769211	chr5	140078077	39.4173575672338	53.4408833915122
208823_s_at	CDK16	0.0055123926596833	1.20936814836441	chrX	47088831	43.2114038218613	52.2584954282712
213658_at	NA	0.00552095438236182	-1.2520906623626	NA	NA	7.1514170898097	5.71158088210286
201536_at	DUSP3	0.00553131587236337	-1.28054680497649	chr17	41844920	465.267321715973	363.334881558285
205870_at	BDKRB2	0.00553659511585258	-1.69748171574353	chr14	96706739	118.83199535329	70.0048750164235
204443_at	ARSA	0.00555100812010721	1.30265228311195	chr22	51065983	4.77532953460329	6.2205939208629
205283_at	FKTN	0.00556674794222819	1.4560926795299	chr9	108397331	11.7927449027735	17.1713295244921
206601_s_at	HOXD3	0.0055797568384719	1.3214615161889	chr2	177036244	5.02278445925551	6.63741636701785
216997_x_at	TLE4	0.0055801501736122	-1.21245515493938	chr9	82191047	5.92074598735742	4.88327008486631
218547_at	DHDDS	0.0055801501736122	-1.53448806190818	chr1	26795382	331.064393424708	215.74908377783
203620_s_at	FCHSD2	0.00558477097580347	1.23370139197275	chr11	72548510	158.205755210638	195.178660421465
219321_at	MPP5	0.00559580543515996	-1.1599816418993	chr14	67799496	10.4324665074655	8.99364794289671
212031_at	RBM25	0.00560037619973122	-1.26492861085144	chr14	73586420	396.639728386933	313.566888268857
211421_s_at	RET	0.00561622833847623	2.30834194741023	chr10	43624461	4.90378121800182	11.319603886436
209583_s_at	CD200	0.00562057561131192	-1.8270267339253	chr3	112063808	95.2122222646736	52.113206937106
201088_at	KPNA2	0.0056238113876687	1.52810622420031	chr17	66042619	305.364271167605	466.62904341961
213214_x_at	ACTG1	0.00563058713464844	1.16806336469334	chr17	79476996	12313.9457601959	14383.4689173056
220744_s_at	IFT122	0.00563838248477403	1.63925473871011	chr3	129196858	91.8208850386918	150.517820912231
203886_s_at	FBLN2	0.00563919510830913	-2.05444890920608	chr3	13611814	888.82865129334	432.636045272509
201010_s_at	TXNIP	0.0056450080748018	-1.34829482561997	chr1	145441841	9639.84081628248	7149.65349796541
214440_at	NAT1	0.0056450080748018	1.34653977427777	chr8	18079410	16.5237989532453	22.2499525127142
212765_at	CAMSAP2	0.0056643830374693	-1.33703550874032	chr1	200826881	369.591138389619	276.42582113457
212722_s_at	JMJD6	0.00566844050654776	-1.4972077722476	chr17	74714532	149.443989152501	99.8151304866363
209658_at	CDC16	0.00566923400014619	1.29206554791367	chr13	115037658	538.837361734644	696.213191026027
212763_at	CAMSAP2	0.00567721325926004	-1.2635070512922	chr1	200826881	10.3295388048851	8.17529177563431
204442_x_at	LTBP4	0.00567744285102283	-1.9057496781268	chr19	41135300	222.669268240777	116.840774418833
221679_s_at	ABHD6	0.00569459202385148	-1.40998112593703	chr3	58223445	28.5915987220148	20.2780010285696
