	SYMBOL	FDR	FC	avg.Control	avg.MDM2_KD_380	NAME
T5vrUiaKe7l6qL.Xcw	ENO2	0.866084249648014	1.08	501.7	542.94	enolase 2 (gamma, neuronal)
NiIzAFDkXq5rp0Zew0	LOC100128288	0.866084249648014	-1.05	1180.14	1121.64	uncharacterized LOC100128288
06Qp9fW781eyU0.C0o	CLINT1	0.866160277373042	-1.06	776.06	733.55	clathrin interactor 1
0I24JUOmIJaGL2LWlM	NA	0.866367787941919	-1.06	1653.39	1558.23	NA
9NJtNpqBdGpN9NRatE	CARD14	0.866367787941919	-1.05	104.95	99.63	caspase recruitment domain family, member 14
Tkq5ew1S8dKKeKSAD4	NA	0.866367787941919	1.06	3439.23	3651.36	NA
WS2sQauPTGMOd6eAa4	NA	0.866517791792088	-1.05	87.43	82.9	NA
W8fn_kwIOJQ4F3u17o	ADD3	0.866517791792088	-1.05	394.35	375.47	adducin 3 (gamma)
iFeSJzriu6MKfK5Sns	PTPN1	0.866517791792088	-1.07	874.75	820.9	protein tyrosine phosphatase, non-receptor type 1
oioTn1X7UX_SXv3tOw	CCNI	0.866517791792088	1.06	1868.57	1979.78	cyclin I
6RCMCsuu7dhVNJd0VE	STAT5B	0.866517791792088	-1.06	68.79	65.02	signal transducer and activator of transcription 5B
KiQFSxdISgLap.hRxQ	DUSP16	0.866517791792088	-1.05	100.98	95.81	dual specificity phosphatase 16
3enFUiovtGcS4unpf8	IMPA2	0.866517791792088	-1.06	254.66	240.18	inositol(myo)-1(or 4)-monophosphatase 2
Zufk46g7h.yR5Ou.qo	IPCEF1	0.866517791792088	1.06	89.66	95.03	interaction protein for cytohesin exchange factors 1
igSegiL.Sgcugjxabs	HAT1	0.866517791792088	-1.06	549.05	515.72	histone acetyltransferase 1
Ela5dEVZxVOTUh3Ckk	NA	0.866517791792088	1.05	84.83	88.94	NA
HPNPxXfXuv_opRXcX0	NA	0.866517791792088	1.05	79.26	83.53	NA
3KiQRsA6iKLqux0fl0	GATAD1	0.866517791792088	1.06	102.19	108.45	GATA zinc finger domain containing 1
0df5KUyhyVBziAye94	MRPL52	0.866598820479112	-1.06	232.41	219.91	mitochondrial ribosomal protein L52
xnUO7kn_Byp6r7q5d8	TMEM9B	0.86678529184376	-1.06	292.5	276.9	TMEM9 domain family, member B
Z9S8MEiuuUg5eh5Lo4	LIAS	0.86678529184376	-1.06	138.86	131.59	lipoic acid synthetase
03R97ulYop6vDnqfrE	SNX1	0.866786408439735	1.05	84.19	88.42	sorting nexin 1
Nkgqx8ITMwSlKJLp0Y	FAM73A	0.866804737245253	-1.05	94.77	90.44	family with sequence similarity 73, member A
iOpI_eHgUuR6Mk9JdM	NA	0.866804737245253	-1.05	317.83	303.41	NA
T.OKlGre72HSXSoYd4	BSG	0.866804737245253	1.06	1475.11	1560.86	basigin (Ok blood group)
6euf8DUi6h5eZede80	SUV420H1	0.866850095624008	-1.06	144.54	136.38	suppressor of variegation 4-20 homolog 1 (Drosophila)
rSJR3H6XheStX5VlJQ	NA	0.866899905576397	1.07	84.44	89.93	NA
QoLrVFooIV4sEJ1t34	SLC7A9	0.866899905576397	-1.05	92.5	87.87	solute carrier family 7 (amino acid transporter light chain, bo,+ system), member 9
WPnqf_CmFClK641B5Y	SPAG4	0.867023597956009	1.06	130.15	137.59	sperm associated antigen 4
9XmkEbkV4ohK6S42cc	RNASE4	0.867098377412382	-1.06	86.92	82.33	ribonuclease, RNase A family, 4
ijQUsUrrgFB54GRJcU	USP10	0.867126295206122	-1.05	229.52	219.25	ubiquitin specific peptidase 10
ikNTlTWAo44L0r7GKk	NA	0.867187162264	-1.05	1208.65	1145.76	NA
Kknko96T.k5T3U0jeo	ASAP2	0.867187162264	1.07	297.27	318.07	ArfGAP with SH3 domain, ankyrin repeat and PH domain 2
lX0VIRusqOgCj30SJE	PHF5A	0.867187162264	-1.05	138.73	132.28	PHD finger protein 5A
uaH_Fq_ig4EaKL1iFI	B4GALNT4	0.867267210745599	1.06	78.3	82.95	beta-1,4-N-acetyl-galactosaminyl transferase 4
lSKkKKBeBVzVaJ6DE8	PNKD	0.867314347774555	-1.06	144.61	137.01	paroxysmal nonkinesigenic dyskinesia
BaZ2U6WGAJUFCi0LaI	NA	0.867314347774555	-1.07	567.79	531.45	NA
o_o6PEijuV1y6VWUlE	NA	0.867314347774555	-1.06	69.1	65.26	NA
Qltnt5L3Kfsl.kcFeU	ZMYM3	0.867427405018045	-1.05	94.01	89.22	zinc finger, MYM-type 3
0pYPku3U0kv53U6kRg	SNORD89	0.867448782862349	1.05	102.02	107.18	small nucleolar RNA, C/D box 89
TZ0gmdSVb1N.XAN0Lo	NA	0.867464351101426	1.05	88.65	93.16	NA
KpfScd6zo69QuNC7pU	NA	0.867483288582973	1.05	82.4	86.61	NA
N6vPXMHs7vi6W4pzoU	RFC1	0.867527784477708	-1.05	310.8	296.64	replication factor C (activator 1) 1, 145kDa
EdJFSulukOemk5NFEo	NA	0.867542926351833	-1.07	88.92	83.48	NA
ugv0I3ie1kgknopSqI	NA	0.867563471534048	-1.06	82.54	78.07	NA
xfRt5X_4Ght0qee5V8	RHBDL1	0.867732379651688	1.05	97.12	101.94	rhomboid, veinlet-like 1 (Drosophila)
cUKREqx.ehUeehIfgo	LHPP	0.867762095567064	1.07	117.54	125.94	phospholysine phosphohistidine inorganic pyrophosphate phosphatase
cXQoVQQkrTW7cSXV44	EIF3D	0.867769285664818	-1.05	1052.85	1005.03	eukaryotic translation initiation factor 3, subunit D
l9xRVcHCX8rSFkFUlA	NA	0.86789513337627	1.06	105.84	111.86	NA
0uPXSkHX_e4enOF_aI	WDR54	0.86789513337627	-1.07	835.78	783.38	WD repeat domain 54
K.80e39J5VIKKRj0KU	OR52A5	0.86789513337627	-1.05	85.78	81.77	olfactory receptor, family 52, subfamily A, member 5
0rdfsdFPt3tI7UT5BQ	ZNF583	0.86789513337627	1.06	102.03	107.97	zinc finger protein 583
Nic3g59cAJitXUBb7Q	IL12A	0.86789513337627	-1.06	94.75	89.63	interleukin 12A
6egQlQDgeLl6C.GXjI	WTAP	0.86789513337627	1.08	233.27	251.15	Wilms tumor 1 associated protein
uih0kSUFMNJO3qMh60	RALBP1	0.86789513337627	1.05	228.9	240.52	ralA binding protein 1
utPRKppa3UA5AOZ9JU	ANO8	0.867928926348653	1.06	92.47	98	anoctamin 8
BCUJ0UB4I5fdEMTGXI	NA	0.867962775208399	1.05	80.84	85.23	NA
fKea4lCNOUeR1JepAA	NAG18	0.868077720878018	-1.05	9151.12	8720.51	NAG18 mRNA
rEojduvfmV.UXdLpe0	NA	0.868150676985567	-1.05	346.02	330.53	NA
xf91UUVdeVR.pUgFA4	TTC7B	0.868150676985567	1.06	67.33	71.34	tetratricopeptide repeat domain 7B
ZdFXIb5QUgeG7hders	RRBP1	0.868150676985567	1.05	1877.43	1966.92	ribosome binding protein 1
NUlPVBVfdXxeX0cCBU	RWDD2B	0.868150676985567	1.05	111.31	116.83	RWD domain containing 2B
lreDeRIkI54ui2qn_4	NA	0.868150676985567	1.06	74.19	78.56	NA
ZQgL6pLRJJeKI6DCVI	NA	0.868150676985567	1.05	84.49	88.88	NA
HcyOLSdRH4t3.yKgNI	FAM103A1	0.868304577261275	-1.07	203.16	189.93	family with sequence similarity 103, member A1
KfpWJV1uKBEN0Nvng0	ATP5J2	0.868376545115298	1.05	1708.45	1797.11	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit F2
BlBEjcyP3_B2g3TJFA	NA	0.868387973885856	-1.05	87.54	83.34	NA
6iefKhK4tfqpOgQJ60	NA	0.868439826330846	1.07	102.11	109	NA
HfS4dYnkkdQp7Sp978	MFSD10	0.86848434275227	1.06	792.22	838.32	major facilitator superfamily domain containing 10
inuu5Me7LxMlfUPerU	DNM1L	0.86848434275227	-1.05	319.05	302.99	dynamin 1-like
flSFU1zvRuUkr7ed7c	NA	0.86848434275227	-1.06	82.42	77.87	NA
ZlSIHp9_9UtxR8eJ54	NA	0.86848434275227	1.05	98.96	104.32	NA
lttI3dVt1dUHzGF4.U	STXBP1	0.86848434275227	1.06	82.56	87.33	syntaxin binding protein 1
NX6XAl_vdAer1_oXWo	BABAM1	0.868535429375391	-1.06	605.96	574.2	BRISC and BRCA1 A complex member 1
oBxen_okdRRzqTeirU	MOGS	0.868535429375391	1.06	122	129.55	mannosyl-oligosaccharide glucosidase
rN7phq450KA3FFVo54	GPR32	0.868535429375391	-1.05	83.54	79.58	G protein-coupled receptor 32
fSohbtLKju5enuxurs	LY6E	0.868535429375391	1.05	895.04	938.28	lymphocyte antigen 6 complex, locus E
Wh7QjeeDVBffkpNR5k	LYZL6	0.868535429375391	-1.06	78.07	73.68	lysozyme-like 6
ocRL65T_aKVFZJrRuA	NA	0.868615697328391	1.05	81.42	85.87	NA
cefr67QKA1UKfQUq3o	METTL3	0.868730987103699	-1.05	278.68	265.13	methyltransferase like 3
cVLhH0iJ6y8sk74lKU	FOS	0.868779792731452	-1.25	108.21	86.88	FBJ murine osteosarcoma viral oncogene homolog
HVf_39N7969Pp6i_Rc	NA	0.868852083549352	1.05	87.9	92.21	NA
ZQULXjokIpUZcqjkIE	SEPT3	0.868992286297184	-1.06	100.88	94.98	septin 3
3FVBAgl6K0iCQOaJec	SH2D2A	0.868992286297184	-1.05	84.09	79.94	SH2 domain containing 2A
ZONpVtGgVKeWqmKgBI	NA	0.868992286297184	1.05	79.38	83.34	NA
Qqnf444oYoi4XfRoJU	NA	0.868992286297184	1.05	76.69	80.28	NA
fJSk5BI.7k4DiH1.S4	CCPG1	0.868992286297184	1.05	86.57	90.98	cell cycle progression 1
NuKn3U4RTL3lQx5P6g	MFSD6	0.868992286297184	-1.05	164.39	156.72	major facilitator superfamily domain containing 6
W7KviUSEnfSVLJLoko	ZNF76	0.868992286297184	1.06	127.08	135.3	zinc finger protein 76
xq6Qoei0voi5MlLe4I	GM2A	0.869042786050323	1.05	115.56	121.5	GM2 ganglioside activator
Zru.f560RU466cd4o0	ADPRM	0.869042786050323	-1.05	77.8	74.09	ADP-ribose/CDP-alcohol diphosphatase, manganese-dependent
rUE1WVSXV3xVICtKzg	CDC42EP1	0.869042786050323	1.06	129.26	136.91	CDC42 effector protein (Rho GTPase binding) 1
Bd..UvRe5g1hUXVIl4	TBX19	0.869307066808984	1.06	78.96	83.41	T-box 19
uv67VV6fsgqVjvJ14g	NA	0.869307066808984	-1.06	92.31	87.44	NA
fuxTCUEFnh1KPkwlV4	ASH2L	0.869321445649108	-1.1	830.19	755.11	ash2 (absent, small, or homeotic)-like (Drosophila)
NKHvlKJEulEUy3V6OQ	TRIM16	0.869426421378518	1.05	94.4	99.15	tripartite motif containing 16
NB0ul5XrkQCnPG30ik	RBM48	0.86949978553281	-1.06	107.68	101.6	RNA binding motif protein 48
o8AZ3Vh2VEj4AOXkSU	METTL22	0.86949978553281	-1.06	233.14	219.27	methyltransferase like 22
Bqfde70Sj.uwEXZIuI	NA	0.86949978553281	1.06	88.46	93.56	NA
WeSdsiWBqKiAIJEhAE	GFM2	0.86949978553281	1.06	107.92	114.29	G elongation factor, mitochondrial 2
EppVt3v9PV4juuf3dc	NA	0.869642971047106	1.05	75.74	79.49	NA
3alFMtEekeAICb5Xrg	AKAP17A	0.869642971047106	-1.06	193.46	182.81	A kinase (PRKA) anchor protein 17A
0LiHngASd5JSA633Ro	NA	0.869642971047106	1.05	111.11	116.58	NA
NiIm41VxJ7R9QO9eyQ	CCSER2	0.869642971047106	1.06	157.67	167.14	coiled-coil serine-rich protein 2
Zi7554JE1_Q7qLkSi0	EIF2B2	0.869642971047106	-1.06	374.33	351.85	eukaryotic translation initiation factor 2B, subunit 2 beta, 39kDa
KVcCvqiXZ7t_e9UpFE	DGCR8	0.869642971047106	-1.05	216.56	206.73	DGCR8 microprocessor complex subunit
WOdOAPqoqr3PBECfeI	SUSD5	0.869688692320213	-1.06	93.62	88.7	sushi domain containing 5
oDj.l.0VXJHnqWkrd4	NA	0.869688692320213	1.05	78.69	82.9	NA
Kpkrqeh9xeV0Ku7M_w	CD82	0.869688692320213	-1.07	181.23	168.91	CD82 molecule
i3N6Wa52LH4eWI16J8	HIST3H2A	0.869688692320213	1.05	100.29	105.77	histone cluster 3, H2a
01ScdqKeKeijZ_LUos	RN7SL1	0.869688692320213	1.05	7717.86	8072.88	RNA, 7SL, cytoplasmic 1
WeX3c90CF0v59Oz.qk	NA	0.869688692320213	-1.06	92.47	87.25	NA
l3l.wL.ngg7t7ryjJE	FBXO30	0.869708849839184	-1.06	97.73	92.05	F-box protein 30
3SVIiPMIHjulIuXFR4	DNAJB12	0.869738670511932	1.05	211.03	222.05	DnaJ (Hsp40) homolog, subfamily B, member 12
uKQQFEks8sXu3e00co	LOC730101	0.869939863047427	-1.05	107.56	102	uncharacterized LOC730101
WSt6.idF5x0elVSMCs	NA	0.869939863047427	1.06	78.71	83.23	NA
iKN7qter0kd5Xnlnig	S100A13	0.869939863047427	1.06	95.72	101.32	S100 calcium binding protein A13
65Euqnvh4BF5E6XRSQ	NA	0.869939863047427	1.05	90.8	95.79	NA
i_Ul3nnXnXq.gjkpY0	TOLLIP	0.869939863047427	-1.06	92.21	87.16	toll interacting protein
xghdSGDJ.UvffFSp8g	NA	0.869939863047427	-1.05	156.67	149.21	NA
TwFE0kAoQKdRCkpkSk	SDHAP1	0.869939863047427	1.05	75.31	79.26	succinate dehydrogenase complex, subunit A, flavoprotein pseudogene 1
Q.qLfhamS6dGXsN0kc	NA	0.869939863047427	-1.05	2730.9	2602.28	NA
BLqXXe66p7_nyiOeyw	PPIP5K1	0.869939863047427	-1.05	134.65	127.79	diphosphoinositol pentakisphosphate kinase 1
lDOHPcCnuKU6rPrwvk	DSC2	0.869939863047427	1.05	85.61	90.19	desmocollin 2
cv3f3d1d35ntXT05Hc	NA	0.869939863047427	-1.05	92.86	88.27	NA
ZgjkElDrQgh1ClUjq0	SLC26A6	0.869939863047427	1.05	94.25	98.77	solute carrier family 26 (anion exchanger), member 6
fS4ugjJB_yr66eBKWE	NA	0.869939863047427	-1.06	87.81	83.2	NA
Np.DRQVNBNCXVUpa9A	C16orf58	0.869939863047427	-1.05	539.52	512.84	chromosome 16 open reading frame 58
KnHglEOoIzt3up.e8o	NA	0.869939863047427	1.06	88.5	93.71	NA
xT97CkN_kRuqfFLpUo	DNAJB1	0.869939863047427	-1.07	441.75	411.72	DnaJ (Hsp40) homolog, subfamily B, member 1
6SAl56o65Se5fp77P4	MYO9A	0.870052998947528	1.05	113.77	119.13	myosin IXA
TZSkuSIpUhkkIINFKs	NA	0.870262330353532	1.06	70.63	74.67	NA
WGSkRuDhIdd7rpch1I	ID2-AS1	0.870265874950661	-1.05	87.39	83.48	ID2 antisense RNA 1 (head to head)
ffXRVJXVR1SvBQ7Vj8	PCGF3	0.870292600561966	-1.05	86.61	82.27	polycomb group ring finger 3
BoqNO4vpcfELLgL1f8	PRMT6	0.870292600561966	1.05	259.54	273.69	protein arginine methyltransferase 6
Zh7iRpOlJtN1Kfh9Do	TUBGCP2	0.870292600561966	1.05	270.89	283.76	tubulin, gamma complex associated protein 2
BBKoH9bF5Lq5lK0SLQ	CUTA	0.870292600561966	1.05	2307.39	2428.86	cutA divalent cation tolerance homolog (E. coli)
uXSLkqWSJWJUVoH5vM	NA	0.87030300813518	-1.07	86.97	81.47	NA
QPUkfi_7ukkk.i1ODk	MRPS25	0.87047185047114	-1.05	128.6	122.29	mitochondrial ribosomal protein S25
9NiLlfeODuueq786Qk	NA	0.870482693200056	1.05	9088.91	9522.22	NA
xVdSn_UqOX.udeyTew	NA	0.870487254412725	1.06	80.28	85.21	NA
BGm6KH.W4lIY56KKz0	ABCA7	0.870572938309182	1.05	100.52	105.89	ATP-binding cassette, sub-family A (ABC1), member 7
BVPXVNe3RehdLAqdU0	NA	0.870752307053066	1.05	83.12	86.89	NA
indenl.07J0nOkVU4E	GPR19	0.870779156184663	-1.05	102.01	97.21	G protein-coupled receptor 19
9qiejrgEXgjdM2XdAE	FBXW8	0.870914618236905	-1.05	98.86	93.94	F-box and WD repeat domain containing 8
xX16r_gMAfelqRrp0c	FAM63A	0.870942656502056	1.05	203.06	212.75	family with sequence similarity 63, member A
NRFdeY6r1wiUiqgioc	NA	0.871010198443797	1.05	71.76	75.48	NA
rC.3F6nhvl_1oqn5Ks	MYDGF	0.871105889154662	-1.07	1954.65	1827.88	myeloid-derived growth factor
NAv6twbtRAh7QuCDro	NA	0.871212692498242	-1.06	96.77	91.55	NA
f_JnRXubpfucFPJHk0	RP2	0.871255798557671	-1.06	133.7	125.9	retinitis pigmentosa 2 (X-linked recessive)
HAFKRSXeSQ6tXcl7oQ	KLHL21	0.871255798557671	-1.05	177.91	169.2	kelch-like family member 21
fRrV17T3Rh1qIB7ns4	PHF21B	0.871255798557671	-1.05	90.92	86.65	PHD finger protein 21B
xou.H_XUfe9dVleuec	NA	0.871271547328044	-1.05	139.79	133.16	NA
iqKTqWqkvd10fsB_7I	PBX2	0.871337011988594	1.06	115.48	121.93	pre-B-cell leukemia homeobox 2
EKefAJOBWo5Ikn.uRo	SNAP29	0.871337011988594	1.06	225.75	238.64	synaptosomal-associated protein, 29kDa
r7pKjb5Hod_m7qCo58	AFG3L2	0.87149275672526	1.05	642.95	676.02	AFG3-like AAA ATPase 2
61nKjfoEzVU6MKiqx4	KRBOX4	0.871725056859085	-1.05	125.62	120.12	KRAB box domain containing 4
BlfRT7oOOV6fwr8nUQ	KLF9	0.871725056859085	1.07	160.96	171.64	Kruppel-like factor 9
Qe6.xckddKXeYNTTdU	SFR1	0.871725056859085	1.05	198.94	209.86	SWI5-dependent homologous recombination repair protein 1
oqPEpuJRRtQeXz.veA	ZNF652	0.871854986584127	-1.06	79.03	74.74	zinc finger protein 652
KhEr6MeBN_p0f_g36E	ACSM2B	0.871880492147621	1.05	79.05	83.32	acyl-CoA synthetase medium-chain family member 2B
ZlF0HV6Ka4DkI1KVeQ	NA	0.872075310164787	1.06	127.08	134.24	NA
rFHkqCU3oh6k14iP9c	CCDC149	0.872153600130432	-1.05	84.76	80.87	coiled-coil domain containing 149
KUgujoiAxSAoFKta_Y	MRPS28	0.872193543461973	-1.05	384.4	367.09	mitochondrial ribosomal protein S28
cSh25fee90_6UIDtUk	UBXN1	0.872196912475587	-1.04	629.24	602.94	UBX domain protein 1
ThUkvudehPT1IgOAFw	BRCC3	0.872495184224133	1.07	125.45	134.15	BRCA1/BRCA2-containing complex, subunit 3
6Zd9qo6IL87_o7gdCg	UTP18	0.872495184224133	-1.05	164	155.67	UTP18 small subunit (SSU) processome component homolog (yeast)
NldFKA4B76RfiH1SfU	TTC23	0.872495184224133	1.06	950.59	1009.57	tetratricopeptide repeat domain 23
0OpLNZZTXfW4pmeIVo	RPL8	0.872495184224133	-1.06	267.37	251.24	ribosomal protein L8
c6IJJS5wlIWKVmHyyA	PSMB4	0.872628685659998	-1.05	1945.26	1853.41	proteasome subunit beta 4
raLVZYIFYolMz4IU7c	TRAPPC2B	0.872673371383101	1.06	132.46	140.15	trafficking protein particle complex 2B
cCUgLove1nmJeiOqBI	PASK	0.872673371383101	-1.06	112.11	106.18	PAS domain containing serine/threonine kinase
QonlKjn8So.CNEW1Tk	SNRPB2	0.872787322029078	-1.06	1555.56	1468.3	small nuclear ribonucleoprotein polypeptide B
rIJekS6dE3kPUiHQCk	NA	0.872787322029078	1.05	94.6	99.36	NA
lvigUekTVCcIxCvA6U	COG5	0.872787322029078	1.05	134.59	140.98	component of oligomeric golgi complex 5
uRl_S4fdt6i6keLXdI	CYB561D1	0.873003887195989	1.06	106.53	112.54	cytochrome b561 family, member D1
TvoIjrjqXqb.vvrfbk	RNASE4	0.873026048442577	1.05	90.28	95.14	ribonuclease, RNase A family, 4
rvqPEpuHRTlSUfL.98	FKBP9	0.873093230277959	1.05	79.9	83.57	FK506 binding protein 9, 63 kDa
ugUohG7pqS6hUyN94A	GSR	0.873117826129707	-1.05	270.97	257.08	glutathione reductase
Nken96etBzOAX709dY	ZBTB33	0.873117826129707	1.05	281.3	296.16	zinc finger and BTB domain containing 33
HoRQmVzvn7T04brfok	WWC3	0.873121478290085	-1.06	201.49	190.27	WWC family member 3
WKnkqXVF9QSEp3ns3s	TDP1	0.87315095454557	1.05	112.87	118.65	tyrosyl-DNA phosphodiesterase 1
cqk77tOy0lHzkUO4oA	RPS6KA5	0.873151113534675	1.06	102.45	108.14	ribosomal protein S6 kinase, 90kDa, polypeptide 5
TK5QXs68TSuwrmSSAk	TVP23B	0.873158407735483	1.06	216.53	229.39	trans-golgi network vesicle protein 23 homolog B (S. cerevisiae)
fluUC3V9799JE_FTJE	ZIC2	0.873158407735483	-1.06	108.71	102.85	Zic family member 2
NjaJ39f4yIgSVQ416c	GPAM	0.873209188858891	1.08	263.53	284.61	glycerol-3-phosphate acyltransferase, mitochondrial
riH8NHngjlXnV3q9SQ	SSTR1	0.873369748825513	-1.06	78.52	74.24	somatostatin receptor 1
rAwjq_Giq6qhoiuHq0	NA	0.873503081741451	1.05	86.35	90.99	NA
HpR6SqZtKGeei7puaU	METRNL	0.873531287549424	1.05	125.52	131.49	meteorin, glial cell differentiation regulator-like
Q_nH8A3Be3n_ihC.eA	NA	0.873721810091915	-1.05	80.56	76.97	NA
6w7eVN7PvnXF9AzhF4	AEBP2	0.873721810091915	-1.06	232.78	219.57	AE binding protein 2
T5N2a7u1H3VdH9V0VM	RAB6B	0.874044525087646	-1.05	93.64	88.76	RAB6B, member RAS oncogene family
6V0TXQdJQiev31IiV4	NA	0.874104197986733	1.06	81.48	86.1	NA
QkHp0s9EqAnuKgmA7o	L3HYPDH	0.87410447704606	1.05	275.72	289.35	L-3-hydroxyproline dehydratase (trans-)
ciiQyV6lEJurKX9Gz0	WDR7	0.874151712049365	-1.06	122.71	116.29	WD repeat domain 7
ESew8tL.e17URIAW3I	MIR1537	0.874166372362392	1.06	77.55	82.43	microRNA 1537
uSRUkTKE7__Hg5s3c0	LARP6	0.874166372362392	1.09	851.81	925.06	La ribonucleoprotein domain family, member 6
rJQsgXkBAxVS7c7d1U	DDX19B	0.874177315522694	1.05	88.95	93.13	DEAD (Asp-Glu-Ala-Asp) box polypeptide 19B
xWu5ijRJiiAH3oC7pc	KIAA0226L	0.8742214461314	1.05	73.02	76.81	KIAA0226-like
ic_eBV7U1GoV4B1H6U	TRADD	0.8742214461314	1.05	155.2	162.53	TNFRSF1A-associated via death domain
WpQQhjlohVB6odIVkE	SPANXB1	0.8742214461314	-1.05	86.74	82.69	SPANX family, member B1
rVKLiKj9V0yxB6CjLk	SEC63	0.8742214461314	-1.06	89.25	84.54	SEC63 homolog, protein translocation regulator
KXROrt7r3de7A7RlUU	CARD10	0.8742214461314	1.05	328.46	346.28	caspase recruitment domain family, member 10
uNEfzR7.tHiR9T9d.I	NA	0.8742214461314	-1.05	78.78	74.96	NA
HKQdTjeFWvF_EleXpc	NA	0.8742214461314	1.06	79.44	83.84	NA
uLiiZd5ell4U3qC7hA	TMEM69	0.8742214461314	-1.06	826.16	777.34	transmembrane protein 69
Zg87mzokRokdwun14A	NA	0.8742214461314	1.05	80.42	84.42	NA
l750SV5teeZSpWZRZQ	EMC10	0.8742214461314	1.04	85.96	89.77	ER membrane protein complex subunit 10
ZwrSvr16QA7F1KpdQk	LETM1	0.8742214461314	1.05	116.54	122.81	leucine zipper-EF-hand containing transmembrane protein 1
6tKhLWigibeQB6vXII	CDC14B	0.8742214461314	-1.05	73.98	70.66	cell division cycle 14B
6tSCHdd4e8X_VQlFUA	SSH2	0.8742214461314	1.06	108.21	115.1	slingshot protein phosphatase 2
oyKlBTHi14fRU9fcVU	NA	0.8742214461314	-1.06	87.19	82.01	NA
9nwKe03e6Xl1X9X0V4	USP41	0.874259100551514	1.05	91.92	96.46	ubiquitin specific peptidase 41
6J2SRKqJ6FJ4KJP5oA	RFXANK	0.874259100551514	-1.05	97.6	93.32	regulatory factor X-associated ankyrin-containing protein
ZesPTAlKJDf5foHe5I	CCDC34	0.874259100551514	-1.08	301.24	280.02	coiled-coil domain containing 34
EJqFFepEkpNonVeoXs	NA	0.874259100551514	1.05	76.4	80.44	NA
KqB6UggRzlOvkeD.uU	AHSA2	0.874259100551514	-1.08	274.39	254.36	AHA1, activator of heat shock 90kDa protein ATPase homolog 2 (yeast)
WpeTkd6Xk6SBCFe3cA	AADAT	0.874259100551514	1.05	168.53	177.37	aminoadipate aminotransferase
oS67lguv5HpU4i6Pvg	RIMKLA	0.874259100551514	1.05	91.5	96.29	ribosomal modification protein rimK-like family member A
fJ54BO0IlgoPSPlgIU	NDUFAF4	0.874259100551514	1.05	142.79	149.65	NADH dehydrogenase (ubiquinone) complex I, assembly factor 4
cktAdHo6pEeIokQqSA	TINAG	0.874259100551514	1.05	85.44	89.48	tubulointerstitial nephritis antigen
WdJEeSCpJ0gg5KlT0k	DCLK1	0.874259100551514	1.05	94.16	98.96	doublecortin-like kinase 1
TrDtp9QuOV15R1XmPw	MAPK8IP2	0.874259100551514	-1.05	89.97	85.85	mitogen-activated protein kinase 8 interacting protein 2
ZrKv0fKLCBLVS1JJRU	SF1	0.874288450142044	1.05	84.61	88.78	splicing factor 1
Wt4zAE5RKIPao.i.d4	PERP	0.87430422778197	1.06	257.69	273.04	PERP, TP53 apoptosis effector
fjhRTne7SUoYKiE3q4	TGFBRAP1	0.874379936015178	-1.05	125.16	118.8	transforming growth factor, beta receptor associated protein 1
cOuEUKod5OpE1aV11c	NA	0.874398338526826	1.06	85.36	90.17	NA
o1Jx0opwpKKPn4lSns	C2orf69	0.874398338526826	1.05	856.18	898.9	chromosome 2 open reading frame 69
HRaeR6PTS7wfX_KCeU	AQP11	0.874398338526826	1.06	94.64	99.91	aquaporin 11
WKgj5UpR4SiY1XDoxU	UBR7	0.874398338526826	1.05	132.97	139.72	ubiquitin protein ligase E3 component n-recognin 7 (putative)
KOO33_D6gp06J9OuCk	NA	0.874398338526826	-1.05	102.01	97.24	NA
fE9J9CHDQ2GCU6e4QE	NA	0.874447685768422	1.06	80.27	84.77	NA
cSSDdKTNdJQUgHpLpI	RWDD3	0.874447685768422	-1.05	137.2	130.18	RWD domain containing 3
TfS5enX.0nd1aGXuKc	NA	0.874447685768422	-1.05	83.87	79.94	NA
EpdC7mepO83l0U1e7g	NA	0.874451724213686	1.06	74.1	78.29	NA
olKBHuht.vSCo0r6qk	CCT3	0.874526459108325	-1.05	569.11	540.89	chaperonin containing TCP1, subunit 3 (gamma)
f95SSwB8wP.wMP0Oy8	KIR2DS2	0.874526459108325	-1.06	74.17	69.99	killer cell immunoglobulin-like receptor, two domains, short cytoplasmic tail, 2
uHsBTr1JJe9RFVEU0o	AVPI1	0.874526459108325	1.06	524.31	557.92	arginine vasopressin-induced 1
iq3_1_f6zyKjnhdPC4	NA	0.874526459108325	-1.05	86.2	82.24	NA
NHlS4pRQoUIEvid3So	PKHD1	0.874526459108325	-1.06	71.53	67.29	polycystic kidney and hepatic disease 1 (autosomal recessive)
9CHkOnnnCkXECkkXCQ	NA	0.874526459108325	-1.05	3710.96	3530.7	NA
WL4jXlHkdSXq4SJCXs	SLC7A5P2	0.874526459108325	1.05	8440.41	8870.72	solute carrier family 7 (amino acid transporter light chain, L system), member 5 pseudogene 2
B0LdF0khEoIUbe1FEg	ZNF133	0.874526459108325	1.05	132.37	138.93	zinc finger protein 133
cSC_dSMgASrVKoqQEU	NA	0.874540613205406	1.05	92.12	96.71	NA
re7fU8kLC96UpuunRE	NA	0.874605507315729	1.06	107.08	113.31	NA
6eK7Ey19WlM8FESXiU	DNM2	0.874644737796943	1.05	135.78	142.08	dynamin 2
